1000 9940
142 167 2
116 270 80
561 801 72
499 285 -22
365 360 137
904 693 17
402 808 -44
570 340 -40
212 460 64
653 306 113
433 686 53
301 842 110
507 562 64
60 756 -15
161 237 -35
684 470 45
536 774 -9
904 169 61
454 92 23
365 178 164
136 614 -5
366 780 6
758 982 3
537 919 86
450 185 44
600 683 92
511 586 82
511 127 38
739 727 130
170 872 10
266 800 27
596 781 79
104 605 45
919 146 127
685 517 9
873 150 98
542 444 -20
742 337 40
509 539 27
685 561 49
983 6 94
126 561 29
952 202 14
326 691 41
327 328 64
704 297 -24
739 230 31
624 258 25
869 270 21
248 551 148
504 788 79
442 531 59
947 746 62
473 742 34
812 931 132
819 894 35
909 856 48
88 155 49
968 66 28
918 256 0
347 841 -11
323 888 64
181 506 -64
347 697 -68
37 702 123
602 860 51
884 791 -9
788 420 85
100 798 77
701 918 110
189 113 51
581 33 143
14 578 67
603 764 106
755 199 54
258 310 101
846 684 -1
403 698 -1
159 664 16
906 821 27
634 300 -30
173 851 34
227 506 -36
544 155 65
651 996 72
89 216 50
264 480 118
968 814 12
60 300 7
220 337 -38
24 888 40
290 405 61
582 168 -51
204 154 51
979 125 19
958 186 71
77 16 60
779 656 -12
208 744 102
29 921 33
581 220 186
918 255 52
326 223 96
110 555 0
311 447 22
188 800 10
296 484 7
789 644 69
495 359 20
793 465 -27
67 483 86
347 164 20
182 274 1
594 112 34
670 173 9
676 911 30
184 528 94
22 363 41
188 46 43
859 979 20
190 69 101
582 945 -25
620 392 -10
19 655 96
840 894 44
712 690 89
766 964 13
379 748 -6
419 36 65
280 364 103
266 369 53
865 271 80
852 949 54
396 702 22
824 949 -12
155 193 86
187 244 3
961 830 78
141 599 -7
416 743 29
248 407 26
442 630 -62
39 443 -1
687 499 68
634 568 107
324 767 110
431 612 -15
878 210 168
903 896 29
460 140 23
781 499 38
359 989 30
949 895 122
458 907 56
671 494 23
643 235 -72
82 359 -17
33 724 59
499 89 85
302 761 69
302 42 -45
95 24 138
895 106 -6
621 675 71
866 704 139
544 733 108
250 164 88
331 709 56
633 178 28
417 596 59
707 284 3
293 450 99
833 167 34
429 35 48
103 498 59
860 253 24
164 686 -25
305 851 46
919 693 113
908 659 -14
249 328 100
429 584 45
96 202 -18
859 228 32
123 558 67
117 65 28
765 472 -8
34 801 59
525 499 143
963 996 108
812 809 110
536 618 32
184 414 90
303 378 82
102 151 106
692 620 84
863 821 -6
834 399 94
415 427 90
22 637 3
229 784 -16
790 792 -2
872 468 -28
147 616 87
775 218 5
904 418 14
175 490 11
229 837 24
417 138 101
954 414 -71
562 439 124
596 577 11
845 549 82
776 598 131
864 793 122
693 333 50
980 16 19
344 389 -62
996 811 59
612 626 61
515 30 48
918 357 116
603 676 102
485 6 45
981 251 92
800 260 88
152 446 87
167 181 160
464 257 58
437 590 162
991 792 -12
531 352 85
549 599 37
309 692 -80
504 226 81
719 514 39
16 729 21
531 719 -5
697 355 134
344 803 38
30 172 -26
769 939 85
224 885 -33
816 547 61
700 325 81
631 366 76
734 422 17
617 318 85
242 447 31
265 382 84
588 17 55
635 650 89
964 534 139
675 162 76
292 581 14
506 560 127
100 352 96
169 92 33
236 813 26
253 552 126
384 932 72
865 917 27
973 213 86
936 294 71
288 462 17
105 927 25
838 66 118
496 686 24
253 339 56
290 60 17
967 658 103
585 441 144
566 128 33
238 635 7
404 197 90
826 485 9
981 257 25
341 142 66
702 969 18
753 181 76
932 796 77
501 347 116
247 186 95
681 787 158
893 551 49
610 592 113
83 448 80
71 538 57
444 719 40
984 280 -40
761 614 -8
72 309 33
229 700 13
871 11 148
334 31 91
428 421 43
787 386 24
391 494 72
887 989 9
739 198 72
676 541 23
154 498 88
889 718 122
460 203 45
440 351 -38
189 849 121
966 283 56
115 89 97
819 149 82
906 445 55
490 883 88
868 169 75
832 575 24
413 296 42
184 866 11
555 946 89
518 231 69
754 317 111
714 385 129
131 336 102
857 656 1
122 532 17
711 640 46
508 947 18
936 87 -55
818 384 -47
206 72 127
793 126 9
64 351 46
111 363 36
858 613 79
816 372 83
396 598 101
908 958 21
736 303 -33
17 840 115
228 592 24
32 289 7
250 810 76
288 923 44
436 90 62
257 157 12
266 323 85
921 995 68
991 134 27
843 333 72
551 855 -5
583 35 94
905 463 130
338 298 103
807 649 -2
844 324 49
249 670 141
245 295 49
132 965 63
586 7 49
21 157 27
763 56 -51
876 625 108
704 781 64
416 243 18
654 818 125
358 674 50
178 874 37
643 995 15
503 96 98
446 672 83
474 829 -9
609 734 50
591 388 141
311 524 31
823 868 -22
432 675 -22
706 160 7
892 663 80
777 794 59
17 963 -6
142 824 125
927 7 99
959 872 153
761 556 101
579 347 114
574 200 9
743 404 -24
23 547 73
579 740 38
208 512 36
631 342 16
972 763 49
813 880 11
485 647 134
281 946 92
889 831 26
553 171 25
933 98 26
405 510 121
352 426 72
163 299 116
502 667 64
668 243 26
157 133 31
54 620 94
469 313 37
607 617 50
499 671 18
864 908 53
269 177 -18
249 407 93
793 687 -31
768 727 146
916 987 18
398 429 57
287 901 7
254 619 131
0 501 24
782 33 108
123 652 24
68 45 58
890 450 -28
631 274 29
276 333 23
523 439 68
245 626 44
778 101 -4
993 207 82
437 116 75
922 974 -22
368 478 -38
42 705 106
776 173 42
883 525 10
402 454 98
708 292 4
966 799 -25
406 841 138
890 950 24
501 467 27
304 832 28
20 347 149
475 265 -28
741 506 59
721 430 89
73 169 -14
743 999 114
638 909 103
555 404 39
822 968 124
387 286 24
396 211 10
435 511 68
110 338 -22
80 481 120
43 944 129
884 579 16
478 259 128
807 386 37
926 570 64
995 8 133
56 782 54
432 288 42
869 293 100
953 665 77
234 559 19
674 173 11
111 123 44
789 886 54
322 574 33
130 570 -1
457 84 131
605 254 -15
309 766 18
436 293 89
62 627 -66
581 398 42
128 206 32
138 184 13
441 81 53
175 395 -17
906 519 33
866 616 135
452 483 65
85 387 -13
866 956 156
427 702 82
666 634 75
521 260 -25
826 443 -2
280 705 96
395 192 20
116 212 107
229 451 10
982 488 -24
464 776 17
434 590 129
963 610 3
679 239 29
537 981 62
628 271 84
439 756 34
744 560 32
557 380 107
77 967 41
375 360 54
700 910 98
699 315 37
386 330 44
441 961 -19
863 240 -34
398 21 92
101 23 81
400 139 39
776 271 143
294 502 15
266 270 10
389 386 95
288 709 29
838 675 20
121 223 -10
257 172 75
680 765 94
186 166 -29
83 665 31
961 653 84
941 757 93
415 290 68
372 443 -31
110 354 10
702 56 31
182 761 37
759 979 25
522 802 110
833 858 -13
761 81 40
998 448 79
200 225 50
824 784 -2
288 43 96
369 179 31
229 870 15
290 963 102
654 899 83
63 43 -52
313 241 64
626 989 29
526 81 111
876 308 83
356 896 28
16 886 -22
491 921 78
457 17 55
610 741 62
413 908 29
528 294 -22
401 233 65
559 612 24
69 459 50
350 884 29
732 726 67
128 998 67
726 845 -1
192 651 26
629 423 21
542 501 36
567 6 21
528 646 87
815 829 17
143 553 -64
419 670 167
807 52 27
686 84 20
706 940 -22
159 265 -48
53 449 89
272 894 30
655 853 66
977 656 -16
56 381 18
361 176 81
746 708 65
763 340 -11
631 80 24
905 664 18
442 514 82
336 275 116
441 365 -47
852 760 19
429 749 -1
871 590 104
540 13 -52
715 356 39
6 698 53
672 976 78
493 574 29
580 827 66
370 47 117
528 456 26
629 624 13
87 398 41
568 534 22
621 222 39
605 898 84
672 988 -28
438 449 34
875 91 18
996 429 3
943 649 0
397 974 -14
412 809 138
398 586 84
249 965 118
555 954 93
351 30 94
898 544 -19
206 809 75
344 954 27
928 265 7
652 195 90
109 296 26
337 451 67
594 498 77
142 281 24
568 965 -11
860 806 43
725 104 93
112 331 46
512 354 8
61 992 83
400 850 6
454 752 51
302 928 81
648 633 92
324 687 93
729 870 31
59 404 20
958 369 72
269 637 -29
143 597 -54
868 330 154
257 932 -12
730 607 12
281 162 136
391 73 81
281 96 105
320 817 12
961 764 91
615 894 83
705 421 71
703 983 91
178 633 8
29 855 95
21 937 -50
610 7 93
369 12 127
345 803 57
49 486 87
507 446 40
288 860 104
32 887 47
822 310 70
574 942 -40
129 492 40
116 419 73
282 339 16
177 542 156
188 767 53
941 462 21
576 34 46
562 930 116
146 783 59
369 326 113
801 448 95
56 169 10
474 188 7
402 963 18
543 793 91
677 662 68
998 719 49
460 45 45
68 188 32
991 403 72
804 688 8
939 944 87
282 14 -28
86 561 17
708 651 39
802 205 9
431 682 46
462 603 -8
5 519 -7
561 600 -32
118 424 55
327 502 29
45 882 1
400 711 130
95 765 133
120 34 18
352 667 53
200 440 67
742 292 -5
335 68 24
755 14 -52
855 629 11
880 331 2
647 147 24
620 129 22
136 775 131
93 94 88
872 391 15
887 741 -15
820 672 121
280 605 131
194 93 54
357 672 50
132 19 21
80 790 1
943 231 83
902 778 20
412 663 101
795 763 127
898 980 -35
345 697 6
355 974 32
734 36 5
163 168 58
771 378 59
160 981 79
658 518 41
776 202 32
350 205 -9
720 48 49
182 82 -22
996 203 113
218 334 29
913 422 -20
385 612 -25
397 891 -6
202 211 11
705 586 92
544 665 21
145 400 24
117 480 58
314 763 55
989 883 71
176 414 43
36 378 174
196 853 61
174 369 17
634 746 33
459 158 27
550 157 -12
548 99 2
270 2 139
84 592 87
530 893 122
30 31 79
285 428 27
358 873 62
336 919 14
529 543 37
962 707 135
621 815 15
781 47 88
521 482 -21
637 559 109
860 746 71
155 563 97
257 450 101
125 659 60
508 43 -18
41 602 66
416 132 41
573 668 79
538 468 49
824 362 75
610 693 137
956 20 31
34 209 -7
580 535 17
404 771 168
203 6 -36
778 426 155
591 160 64
586 513 65
472 444 -15
353 143 84
634 852 11
365 748 90
347 380 61
860 203 37
780 545 53
707 115 -61
459 696 27
391 949 21
248 114 28
514 822 -33
893 145 83
649 943 26
691 563 31
424 601 55
442 781 42
981 5 55
407 989 -21
451 271 48
953 439 -18
654 462 52
914 764 121
917 646 146
689 678 31
951 932 -7
210 77 -31
677 571 37
325 246 80
961 201 83
432 62 119
17 64 59
447 617 28
776 548 81
655 860 16
163 180 30
379 308 1
207 529 -2
54 311 88
147 970 82
691 175 93
833 434 23
797 268 38
539 132 45
39 656 40
261 989 -28
535 630 -1
939 814 80
505 465 59
192 162 23
225 431 105
642 105 84
964 326 128
655 927 47
403 267 -29
872 403 56
372 817 60
8 557 11
228 311 58
861 805 56
102 892 76
379 680 -19
84 496 15
104 33 50
650 42 -49
904 237 59
278 825 45
830 555 52
725 914 -39
820 599 109
707 771 77
511 696 20
913 973 -29
790 273 55
56 960 1
767 90 -16
458 710 68
531 949 18
721 336 94
322 771 130
207 288 -14
529 859 22
301 708 121
920 435 105
156 700 -8
60 253 -25
933 472 -25
888 422 -14
709 865 46
371 161 91
532 719 89
874 337 -43
925 534 9
380 693 -10
94 478 -29
302 3 81
919 385 85
970 314 78
657 535 -7
384 358 0
36 578 81
297 957 114
573 207 91
297 859 8
818 545 -58
469 156 56
565 697 -18
485 874 84
143 556 12
910 527 52
785 299 32
632 483 93
85 710 -50
897 456 -17
652 417 81
982 429 -11
256 74 110
41 191 19
739 339 67
769 782 32
397 439 -12
311 972 68
15 130 70
794 925 68
493 98 56
698 688 83
658 761 7
276 369 18
675 299 77
501 302 29
446 593 73
121 92 65
345 890 44
201 861 74
988 181 80
779 176 -16
931 915 29
334 288 -18
144 18 93
222 670 85
640 531 130
822 448 72
670 37 -37
351 8 68
59 166 -37
179 258 36
356 125 0
805 615 7
51 42 -22
676 711 33
846 356 26
715 575 41
826 327 64
108 608 44
549 515 72
892 819 55
235 806 57
45 525 -9
533 559 -31
227 587 16
248 222 44
568 808 -61
636 127 30
756 857 41
949 467 112
194 635 17
727 15 3
129 697 22
5 126 110
753 754 55
791 306 84
204 113 75
222 361 49
248 647 111
731 880 54
19 408 107
439 253 -9
224 762 49
947 350 81
763 353 -64
942 361 54
99 212 105
632 348 15
124 129 12
222 596 -8
36 882 34
619 144 41
652 362 93
481 260 24
891 70 102
31 556 69
491 352 135
588 958 19
136 781 106
48 274 -2
486 299 52
773 869 -44
646 307 10
0 97 81
999 832 50
938 565 87
705 898 78
298 939 105
74 733 31
422 38 87
621 477 27
865 754 90
630 586 84
890 820 -61
32 986 32
518 806 23
701 38 111
310 804 19
960 28 94
621 523 23
598 141 14
190 964 24
547 190 0
163 321 69
252 883 93
272 979 -37
758 120 30
666 367 -18
969 98 83
474 38 64
548 362 62
436 372 101
896 322 132
8 536 32
757 379 124
525 249 18
69 738 147
309 733 2
218 817 38
607 299 32
55 424 -14
971 765 85
737 760 24
529 304 100
713 814 74
95 769 54
408 450 44
265 801 93
46 323 93
984 146 34
916 968 32
623 627 -34
595 935 113
56 860 82
893 327 35
598 107 -24
527 152 -51
12 158 -27
511 813 19
552 150 -19
950 1 62
103 695 71
877 636 39
272 901 34
885 363 18
743 302 105
90 849 135
498 943 -10
660 37 29
679 55 -34
74 33 30
629 688 0
375 543 5
806 330 52
894 442 73
766 992 62
361 425 26
198 481 109
446 761 28
596 181 113
615 302 51
417 805 112
339 830 32
825 65 -11
289 97 0
843 982 129
667 475 19
566 912 54
426 256 9
987 706 118
671 53 69
708 167 -25
95 903 12
836 827 -14
211 213 100
354 912 105
916 160 2
948 593 15
699 318 91
99 745 36
551 464 -81
222 526 28
875 841 73
436 666 74
196 504 -57
504 882 82
492 709 29
106 590 110
710 976 116
701 747 64
904 324 12
579 190 50
675 151 125
324 682 31
34 223 85
154 493 31
248 329 60
993 76 129
649 189 -1
481 598 83
141 525 -2
515 35 53
761 237 6
397 377 79
255 451 72
244 403 164
355 545 -11
878 964 39
346 795 31
83 940 6
449 760 -16
555 502 31
911 830 50
234 914 75
621 44 96
122 589 110
347 246 56
938 401 32
32 68 66
707 176 28
718 273 53
672 367 -44
697 524 135
528 790 14
112 873 26
334 855 20
524 497 8
614 154 92
174 737 -14
330 508 103
584 23 88
920 798 110
201 457 -34
616 186 35
289 13 -31
409 931 131
539 626 39
742 606 64
812 825 75
674 949 -2
941 218 82
492 192 60
286 996 62
992 967 -6
669 910 70
988 502 24
777 596 59
459 7 106
763 814 57
195 314 42
790 779 92
322 228 36
916 682 -19
405 904 133
449 58 -13
8 450 73
488 181 174
688 623 100
487 362 54
753 827 75
355 697 -7
785 887 16
183 317 68
934 752 124
692 564 70
677 3 42
532 385 105
509 408 20
481 493 58
583 858 33
847 925 56
728 112 110
147 283 61
611 654 63
838 440 179
484 743 106
608 798 74
928 6 53
316 62 45
315 78 -40
516 942 38
107 731 97
101 46 65
135 416 -56
364 929 55
97 686 29
288 25 47
649 813 101
350 10 -47
48 743 49
404 612 66
978 758 110
190 44 54
375 488 -43
757 802 150
681 473 136
967 961 75
263 529 -20
482 337 43
273 132 29
991 561 -14
593 132 -10
779 401 27
773 61 -10
562 69 89
908 122 -8
747 911 24
401 780 33
147 828 -40
901 234 42
592 411 39
407 711 44
856 326 29
118 467 143
694 152 47
452 393 49
969 360 28
286 23 80
322 411 46
886 2 139
726 728 68
298 37 16
28 734 35
891 363 33
323 846 130
811 853 115
397 615 -6
120 916 45
574 625 37
480 822 42
870 660 59
61 58 66
336 699 55
190 76 122
266 758 83
663 987 28
50 772 -31
382 996 75
512 90 43
481 265 -43
79 996 60
879 891 -10
888 918 70
639 70 68
504 54 119
887 62 22
164 830 49
385 766 -7
864 564 91
970 831 -18
540 484 -27
527 774 -13
140 12 153
852 330 112
809 138 85
493 6 53
200 738 68
785 151 63
660 64 117
139 413 53
566 944 40
571 152 45
479 128 66
702 270 -1
59 601 6
769 679 46
303 610 64
247 243 41
619 311 68
442 789 -48
351 850 59
170 985 21
415 563 68
110 462 42
510 290 -4
76 458 29
892 339 44
931 65 -13
657 495 -44
771 844 -9
684 357 29
695 2 63
711 750 0
112 242 58
649 342 34
769 579 -18
770 785 97
938 596 66
961 858 62
206 217 70
694 520 -1
635 858 57
487 307 98
974 174 69
702 341 22
76 24 116
162 505 -34
649 537 -22
19 678 10
185 142 18
283 519 39
415 326 90
169 111 52
759 149 79
581 684 127
755 898 6
359 179 28
741 940 93
618 127 -57
145 768 -19
961 295 95
961 606 74
883 104 43
703 101 68
789 786 79
524 826 4
357 126 59
350 907 65
20 458 73
686 854 56
3 872 59
335 772 3
847 515 32
306 587 91
18 755 67
428 193 -19
625 419 40
474 17 30
500 872 100
19 699 172
539 680 66
360 713 4
555 559 5
20 395 83
111 84 21
469 79 9
371 293 32
483 778 12
516 580 100
60 40 97
576 763 56
498 632 -24
402 524 92
271 654 18
372 457 37
754 842 139
774 152 46
800 918 105
667 149 103
510 868 6
469 806 47
326 748 42
561 314 75
969 174 29
785 898 18
887 101 -74
554 526 -79
335 661 109
819 812 14
427 923 32
199 565 8
614 512 91
566 459 59
251 16 87
135 516 2
915 819 -26
553 556 164
616 243 -48
55 589 99
915 358 -43
564 797 33
335 549 57
740 568 73
823 702 -39
487 81 127
715 912 108
307 570 48
562 460 86
212 415 -28
585 364 114
136 193 43
846 135 92
552 923 2
151 250 73
887 133 -50
812 965 72
751 170 98
889 972 47
468 484 24
386 16 -5
824 439 33
34 790 -30
337 924 71
788 995 -23
303 615 72
811 146 93
270 498 165
83 922 30
479 675 31
906 615 51
111 164 25
962 295 51
94 729 41
498 313 24
745 349 85
992 731 3
612 145 128
437 356 64
774 114 26
10 34 129
289 340 31
749 135 103
473 887 39
611 412 -33
286 719 114
180 736 120
997 569 -9
519 314 98
502 710 61
608 884 83
625 180 -14
665 565 43
472 686 -12
47 859 12
798 890 85
526 255 30
490 558 57
277 364 24
699 917 3
602 878 -4
221 681 5
682 566 61
723 193 89
34 734 14
488 706 116
847 745 -30
900 335 48
486 398 -1
747 677 98
473 544 16
233 243 66
96 606 38
995 768 -3
468 961 9
870 942 80
966 784 42
126 52 57
184 857 31
604 345 63
289 559 32
267 965 141
798 713 -5
588 228 24
493 255 -52
403 865 -48
883 880 44
577 187 124
57 559 9
617 947 43
69 541 61
376 322 100
361 778 -8
94 328 58
674 245 94
575 165 49
318 387 -15
521 221 40
978 232 142
785 868 -22
467 416 -44
946 91 4
402 128 -6
115 815 80
519 178 81
530 965 70
465 210 98
262 935 80
390 257 30
913 366 -20
413 875 79
512 43 29
218 243 -3
466 581 47
619 426 95
713 145 97
416 461 -7
979 585 62
817 137 94
583 869 -3
267 259 130
100 204 45
789 30 166
350 216 59
36 792 11
105 771 79
4 18 155
913 336 11
890 650 -29
703 316 111
180 698 5
336 434 -19
813 529 40
743 757 -9
573 258 54
484 16 85
955 206 -4
982 725 68
630 66 119
189 672 143
689 336 4
593 547 102
309 263 72
212 401 -3
394 843 -61
92 449 65
597 397 92
136 487 7
203 15 9
514 944 91
540 839 2
877 157 -31
361 241 54
32 788 50
243 743 59
778 966 80
748 707 111
554 80 15
632 101 -45
916 343 103
885 605 149
637 862 95
63 523 -35
141 23 57
51 178 57
155 367 70
81 798 36
984 573 -6
513 498 102
533 21 30
10 695 55
197 907 105
681 544 41
798 899 53
62 379 3
780 403 81
500 742 78
693 50 27
962 702 128
436 849 152
919 444 122
720 947 91
852 621 33
873 722 86
769 94 42
256 671 65
549 622 26
368 19 -36
939 366 113
519 935 93
868 393 22
396 29 55
279 466 54
787 432 4
90 456 95
987 289 53
88 948 175
489 496 97
73 520 -34
684 68 0
976 185 14
428 964 5
900 427 21
951 119 49
551 864 -10
43 426 55
708 995 32
57 812 -42
530 787 66
817 370 34
369 279 83
948 739 15
529 767 120
116 578 34
113 536 131
807 251 -6
75 219 54
76 388 78
420 743 24
447 896 8
0 345 122
974 896 59
826 502 65
764 833 42
634 253 -5
156 281 14
605 713 -9
574 209 -13
105 299 -8
46 389 2
983 190 53
537 105 74
557 595 80
753 645 49
229 536 123
840 577 -1
971 140 6
51 48 -5
388 643 5
614 932 94
604 96 75
829 162 101
377 557 21
297 246 83
35 566 3
710 247 60
484 775 97
594 491 18
551 639 23
300 682 82
955 51 87
621 146 36
988 532 70
1 645 89
110 635 22
49 255 0
960 635 75
191 814 128
679 163 -7
447 416 114
180 391 45
914 410 50
419 601 52
257 289 70
253 152 98
695 263 58
319 170 66
160 770 127
416 718 120
365 914 64
394 280 15
441 190 23
752 413 -7
738 743 19
759 809 78
379 446 27
65 825 129
691 180 -26
288 127 73
74 14 3
146 843 -37
164 815 -37
483 68 64
389 464 18
71 629 61
878 384 25
987 131 74
623 187 45
634 1 12
246 105 47
268 887 94
86 846 111
551 312 -44
697 101 -1
7 403 86
452 831 -36
872 756 2
437 716 -21
132 782 61
868 343 129
702 135 95
446 195 77
845 962 78
230 455 67
96 514 -21
591 14 5
256 907 109
11 631 59
824 838 -47
885 796 92
395 232 113
153 934 -6
11 9 8
11 28 35
326 488 37
417 85 111
435 931 110
516 346 80
308 559 84
749 175 101
91 33 129
549 801 -47
296 31 92
451 19 -19
28 886 46
230 640 49
108 519 -58
194 513 49
124 72 51
750 512 27
256 185 74
942 281 59
205 957 47
56 839 95
507 695 11
578 75 149
676 961 28
958 87 37
705 192 59
621 461 38
566 943 41
121 592 47
371 327 82
716 131 64
443 178 175
3 970 56
998 536 137
180 621 88
736 300 -42
755 417 -1
655 212 22
638 310 118
851 190 37
219 0 15
893 621 -20
388 49 -58
303 561 89
896 981 92
563 107 7
338 853 100
22 377 115
106 410 68
680 31 88
373 941 -10
388 82 -13
146 268 11
306 180 24
36 805 126
105 417 -13
903 461 73
360 685 -20
1 12 130
252 936 141
301 175 130
202 639 41
488 239 114
905 193 -53
320 590 85
914 931 155
429 333 47
663 768 -29
682 347 120
806 355 61
791 707 127
709 895 76
557 462 73
495 148 56
161 724 10
620 68 50
10 826 62
754 235 -29
51 253 13
604 4 47
487 724 79
659 580 85
375 28 3
382 546 48
411 138 38
768 790 43
609 232 76
625 738 120
741 414 20
610 270 103
715 667 97
995 472 61
198 879 38
706 773 65
558 869 6
931 127 -22
657 686 -2
368 619 45
995 511 55
283 772 55
809 66 9
457 351 55
41 675 -12
137 941 22
967 53 67
891 347 122
683 850 19
227 515 30
451 172 16
276 353 37
566 451 -29
906 273 14
740 666 45
539 406 56
273 870 27
117 524 103
317 40 80
651 120 -8
683 709 -2
209 87 78
68 559 -22
816 600 56
6 800 27
732 669 76
783 935 62
171 563 55
127 897 154
914 227 90
637 610 71
717 58 7
98 675 47
87 504 127
945 559 23
622 104 22
187 824 23
157 967 17
34 431 31
365 366 57
195 85 50
775 215 56
151 161 51
382 309 64
551 282 37
976 50 -14
539 946 108
321 253 -51
202 857 21
78 588 11
860 596 -11
183 398 45
76 469 81
918 232 115
623 870 -44
599 436 40
929 984 165
166 682 117
493 632 1
589 739 -12
25 332 105
134 464 88
855 333 66
325 168 35
919 515 91
720 634 172
56 791 57
708 683 97
700 951 54
53 802 45
31 375 89
889 897 89
96 431 28
34 930 44
148 379 67
790 594 124
835 284 29
806 967 22
960 137 83
171 295 99
925 693 85
961 129 73
305 446 57
446 421 93
983 284 79
754 926 102
307 614 -10
148 840 57
510 704 59
987 36 25
148 78 56
876 702 79
408 146 114
126 899 -47
885 554 170
356 194 117
368 505 -22
40 32 102
988 697 60
587 511 -9
776 948 134
628 379 114
339 860 43
382 330 70
228 86 102
117 417 33
377 49 -30
685 837 -19
550 678 -22
49 443 44
224 26 -78
523 868 -5
141 522 -34
709 697 14
330 735 -33
159 297 -29
630 178 165
520 261 74
565 808 -20
739 690 57
143 734 -29
150 609 39
674 163 4
67 355 92
51 987 42
9 275 109
536 972 34
755 389 -20
827 894 85
177 993 66
783 647 157
788 465 41
526 598 119
999 471 11
650 51 49
982 361 68
660 23 129
85 910 25
90 960 103
501 408 52
472 599 50
266 238 49
71 230 19
748 551 154
116 357 121
602 161 91
846 983 -31
464 319 61
521 889 26
753 480 70
200 545 -46
746 118 25
949 905 84
173 126 140
574 94 70
741 323 16
875 177 -3
128 470 74
352 996 64
50 898 44
393 243 30
348 32 126
718 477 64
235 159 170
105 591 86
905 432 68
174 654 94
732 439 36
503 762 28
57 574 88
611 698 -52
29 94 42
240 204 38
754 909 27
833 649 21
564 465 -10
870 59 112
429 884 38
907 840 95
120 922 72
298 664 68
453 684 18
63 918 -38
982 112 32
365 371 127
94 442 58
406 951 99
498 828 -36
83 885 -12
715 12 154
31 74 17
601 291 127
681 757 95
595 79 137
149 122 1
202 49 37
734 749 67
771 608 -43
635 606 72
969 551 69
422 670 158
136 390 45
991 451 59
685 584 107
776 170 145
936 458 22
763 379 8
378 938 -7
919 530 33
192 485 21
548 652 41
149 971 80
269 643 39
555 874 54
693 691 124
455 348 60
902 540 9
311 890 73
568 56 10
571 10 33
458 184 109
257 286 5
272 555 37
81 681 35
574 5 34
44 289 28
814 696 38
763 142 6
341 675 66
284 48 63
885 136 94
65 916 92
478 979 35
401 823 139
675 446 86
900 794 -16
137 500 67
721 788 84
598 918 16
5 317 69
575 796 81
466 947 82
254 539 40
104 406 8
449 64 32
247 470 107
71 344 117
955 268 46
369 203 140
234 779 123
128 379 152
181 317 7
982 80 3
787 502 15
164 898 92
847 841 71
371 145 69
193 784 80
230 898 141
128 583 65
690 688 30
850 866 26
430 117 -69
449 834 78
942 519 114
584 391 32
21 787 46
888 778 -14
742 829 7
363 9 47
844 116 51
826 115 42
994 240 72
155 810 88
744 686 -17
345 818 38
852 938 -10
154 743 83
340 426 84
361 397 65
772 750 25
352 933 22
50 860 61
35 933 52
259 766 85
737 313 95
349 625 40
144 40 92
442 985 26
909 34 93
883 957 20
707 847 52
743 378 50
737 596 75
959 785 103
260 20 76
110 563 38
470 178 47
747 812 34
793 999 6
330 888 39
328 558 19
966 8 101
478 797 67
559 78 51
622 624 9
85 238 5
714 162 92
49 86 88
838 539 111
109 733 57
443 379 180
236 38 125
964 128 29
95 616 136
748 120 147
952 816 0
268 149 89
229 137 38
207 420 27
421 875 20
263 654 77
741 559 17
435 573 15
282 194 -16
675 160 26
920 473 126
83 210 22
182 864 -28
199 43 60
917 175 63
507 940 14
845 515 157
544 550 41
695 53 71
988 721 64
733 978 -41
134 123 70
995 834 118
892 916 48
800 180 125
731 799 0
981 452 63
570 822 12
33 745 36
522 139 -18
955 634 55
63 164 60
876 601 4
453 955 8
1 849 93
204 67 -11
717 318 35
993 628 96
365 751 40
188 633 67
429 470 33
654 31 61
973 448 158
419 559 77
254 148 109
924 670 44
618 169 11
121 487 -7
550 806 8
605 204 -45
548 815 9
31 606 56
506 980 114
594 690 4
300 693 45
190 926 134
546 128 22
656 815 84
571 171 79
298 60 100
158 49 91
953 362 33
857 650 111
85 539 -33
175 616 75
209 385 122
229 51 87
825 656 -24
894 832 98
356 569 129
148 243 7
876 451 91
44 329 80
984 667 7
22 612 62
449 319 81
175 356 -37
644 682 33
43 24 81
841 668 -3
784 249 57
9 574 73
338 712 66
246 546 16
309 488 -21
212 223 65
111 246 105
618 161 69
497 850 9
418 545 55
912 697 12
345 12 19
172 611 68
688 672 81
519 704 90
457 46 13
872 228 0
987 773 44
832 761 75
256 530 57
385 821 47
465 192 46
685 34 97
469 671 30
285 338 26
637 782 29
424 105 111
281 744 156
315 486 -17
784 22 94
86 516 -4
118 201 82
531 94 63
919 647 104
72 290 54
321 301 11
859 681 70
810 524 96
65 444 101
213 221 64
13 521 43
407 159 44
101 672 89
293 37 -38
314 322 -30
730 802 109
918 120 80
981 233 55
973 951 136
767 956 77
796 980 47
6 911 63
222 11 37
139 158 22
585 40 152
621 53 48
573 227 158
68 90 28
203 149 26
636 551 97
476 588 21
909 549 79
908 211 32
241 279 -50
275 431 -11
318 571 -70
552 27 26
604 256 29
275 820 -55
861 709 26
475 684 64
491 263 119
581 112 133
369 658 46
368 261 31
292 632 117
761 455 -46
315 104 -9
458 660 71
317 984 68
397 220 40
831 955 53
474 658 77
996 824 12
977 661 38
686 833 13
954 692 -84
192 948 119
7 134 3
213 525 -18
414 231 90
31 377 38
563 441 43
168 206 58
921 289 69
